Order Date,Sum of Sales
,1409283.5487
2014-01-02 00:00:00,468.9
2014-01-03 00:00:00,2203.151
2014-01-04 00:00:00,119.888
2014-01-06 00:00:00,5188.52
2014-01-07 00:00:00,601.024
2014-01-08 00:00:00,228.328
2014-01-09 00:00:00,469.436
2014-01-10 00:00:00,4.71
2014-01-11 00:00:00,4732.08
2014-01-12 00:00:00,5624.39
2014-02-02 00:00:00,211.646
2014-02-03 00:00:00,202.384
2014-02-04 00:00:00,1458.558
2014-02-05 00:00:00,506.12
2014-02-06 00:00:00,738.598
2014-02-07 00:00:00,79.56
2014-02-08 00:00:00,886.28
2014-02-09 00:00:00,3254.15
2014-02-10 00:00:00,598.144
2014-02-11 00:00:00,2126.37
2014-02-12 00:00:00,1771.808
2014-03-01 00:00:00,16.448
2014-03-02 00:00:00,97.112
2014-03-03 00:00:00,1345.892
2014-03-04 00:00:00,233.45
2014-03-05 00:00:00,72.632
2014-03-06 00:00:00,741.336
2014-03-08 00:00:00,477.994
2014-03-09 00:00:00,22.08
2014-03-10 00:00:00,862.683
2014-03-11 00:00:00,2784.163
2014-03-12 00:00:00,505.88
2014-04-01 00:00:00,288.06
2014-04-02 00:00:00,134.384
2014-04-03 00:00:00,370.452
2014-04-04 00:00:00,475.844
2014-04-05 00:00:00,187.432
2014-04-06 00:00:00,456.272
2014-04-07 00:00:00,247.408
2014-04-08 00:00:00,2743.154
2014-04-10 00:00:00,728.748
2014-04-11 00:00:00,6693.748
2014-04-12 00:00:00,129.98
2014-05-01 00:00:00,19.536
2014-05-03 00:00:00,705.562
2014-05-04 00:00:00,5295.098
2014-05-05 00:00:00,260.977
2014-05-07 00:00:00,1444.104
2014-05-08 00:00:00,2408.724
2014-05-09 00:00:00,296.304
2014-05-10 00:00:00,191.9
2014-05-11 00:00:00,1694.564
2014-05-12 00:00:00,2963.642
2014-06-01 00:00:00,4407.1
2014-06-02 00:00:00,330.512
2014-06-04 00:00:00,1650.69
2014-06-05 00:00:00,254.456
2014-06-06 00:00:00,1374.001
2014-06-07 00:00:00,1038.472
2014-06-08 00:00:00,262.89
2014-06-09 00:00:00,100.36
2014-06-10 00:00:00,494.71
2014-06-11 00:00:00,43.68
2014-06-12 00:00:00,1970.978
2014-07-01 00:00:00,87.158
2014-07-02 00:00:00,180.32
2014-07-03 00:00:00,1561.062
2014-07-04 00:00:00,1021.17
2014-07-05 00:00:00,1091.35
2014-07-06 00:00:00,281.397
2014-07-07 00:00:00,241.194
2014-07-09 00:00:00,3523.875
2014-07-10 00:00:00,237.36
2014-07-11 00:00:00,1449.142
2014-07-12 00:00:00,548.4
2014-08-02 00:00:00,14.56
2014-08-04 00:00:00,1958.75
2014-08-05 00:00:00,1799.97
2014-08-06 00:00:00,2501.264
2014-08-07 00:00:00,763.074
2014-08-08 00:00:00,3955.629
2014-08-09 00:00:00,14228.428
2014-08-10 00:00:00,147.392
2014-08-11 00:00:00,333.576
2014-08-12 00:00:00,1095.12
2014-09-01 00:00:00,40.544
2014-09-05 00:00:00,394.48
2014-09-06 00:00:00,5463.008
2014-09-07 00:00:00,265.521
2014-09-08 00:00:00,3605.685
2014-09-09 00:00:00,4043.588
2014-09-10 00:00:00,249.36
2014-09-11 00:00:00,1574.094
2014-09-12 00:00:00,1522.652
2014-10-01 00:00:00,54.83
2014-10-03 00:00:00,741.956
2014-10-05 00:00:00,2343.799
2014-10-06 00:00:00,491.55
2014-10-09 00:00:00,1855.228
2014-10-10 00:00:00,2049.386
2014-10-11 00:00:00,2002.556
2014-10-12 00:00:00,573.336
2014-11-01 00:00:00,9.94
2014-11-02 00:00:00,2043.4
2014-11-03 00:00:00,918.314
2014-11-04 00:00:00,1915.24
2014-11-05 00:00:00,1642.802
2014-11-07 00:00:00,2187.206
2014-11-08 00:00:00,451.62
2014-11-09 00:00:00,127.95
2014-11-10 00:00:00,1381.164
2014-11-11 00:00:00,8114.548
2014-12-02 00:00:00,129.568
2014-12-04 00:00:00,1912.123
2014-12-05 00:00:00,734.846
2014-12-07 00:00:00,1960.012
2014-12-08 00:00:00,1832.38
2014-12-09 00:00:00,4904.66
2014-12-10 00:00:00,58.53
2014-12-11 00:00:00,1054.7612
2014-12-12 00:00:00,4938.4045
2015-01-03 00:00:00,1642.1744
2015-01-05 00:00:00,450.94
2015-01-06 00:00:00,834.198
2015-01-08 00:00:00,1011.696
2015-01-09 00:00:00,2367.564
2015-01-10 00:00:00,1158.414
2015-01-11 00:00:00,3106.106
2015-01-12 00:00:00,7130.594
2015-02-01 00:00:00,1932.096
2015-02-03 00:00:00,899.57
2015-02-04 00:00:00,299.22
2015-02-05 00:00:00,167.232
2015-02-07 00:00:00,1631.902
2015-02-08 00:00:00,1290.478
2015-02-10 00:00:00,1269.266
2015-02-11 00:00:00,5528.551
2015-03-01 00:00:00,1768.2216
2015-03-02 00:00:00,492.836
2015-03-05 00:00:00,2198.76
2015-03-07 00:00:00,823.982
2015-03-09 00:00:00,1874.898
2015-03-10 00:00:00,275.218
2015-03-11 00:00:00,2800.846
2015-03-12 00:00:00,1972.645
2015-04-01 00:00:00,264.46
2015-04-04 00:00:00,1484.598
2015-04-05 00:00:00,1121.362
